Date,Close/Last,Volume,Open,High,Low
01/28/2019,59.93,27077,61.33,61.67,59.48
01/25/2019,61.64,27337,61.14,61.91,60.71
01/24/2019,61.09,32643,61.02,61.5,60.41
01/23/2019,61.14,32840,61.57,62.3,60.22
01/22/2019,61.5,47671,62.85,63.12,60.58
01/18/2019,62.7,15945,62.74,63.12,62.23
01/17/2019,61.18,29454,61.18,61.54,60.04
01/16/2019,61.32,30757,60.64,61.43,60.04
01/15/2019,60.64,26506,59.26,60.85,59.11
01/14/2019,58.99,28028,60.54,61.02,58.91
01/11/2019,60.48,30718,61.25,62.47,60.08
01/10/2019,61.68,27689,61.33,61.9,60.45
01/09/2019,61.44,34525,58.65,61.68,58.62
01/08/2019,58.72,30740,57.63,58.86,57.11
01/07/2019,57.33,38690,57.37,58.92,57.28
01/04/2019,57.06,39656,55.58,58.3,55.36
01/03/2019,55.95,34764,54.77,56.29,53.93
01/02/2019,54.91,39714,54.25,56.56,52.5
12/31/2018,53.8,19737,53.06,54.79,52.66
12/28/2018,53.21,881,53.03,53.51,51.63
12/27/2018,52.16,5666,54.92,54.92,51.99
12/26/2018,54.47,13296,51.13,55.28,49.96
12/24/2018,50.47,18037,53.58,54.64,50.38
12/21/2018,53.82,38650,54.82,55.3,52.81
12/20/2018,54.35,36130,56.55,56.74,54.28
12/19/2018,57.24,44696,56.21,58.1,56.03
12/18/2018,56.26,39794,58.81,59.22,55.67
12/17/2018,59.61,30160,60.37,61.19,58.63
12/14/2018,60.28,23554,61.66,61.75,59.92
12/13/2018,61.45,28237,60.31,62.02,59.34
12/12/2018,60.15,30544,60.51,61.42,59.99
12/11/2018,60.2,28928,59.89,61.09,59.62
12/10/2018,59.97,32521,61.45,62.31,59.56
12/07/2018,61.67,55699,60.31,63.71,59.1
12/06/2018,60.06,56701,61.7,61.96,58.39
12/05/2018,61.56,29898,61.36,63.27,60.81
12/04/2018,62.08,34513,61.86,63.56,61.24
12/03/2018,61.69,32451,59.89,62.59,59.5
11/30/2018,59.46,983,59.23,59.89,58.25
11/29/2018,59.51,7024,58.77,60.37,57.52
11/28/2018,58.76,17827,60.83,61.26,58.56
11/27/2018,60.21,44435,60.41,61.4,58.95
11/26/2018,60.48,31893,59.15,61.09,58.6
11/23/2018,58.8,55017,62.62,63.79,58.43
11/21/2018,63.48,17644,63.51,63.79,62.28
11/20/2018,62.53,42577,66.91,66.96,61.76
11/19/2018,66.79,28889,67.01,67.62,65.27
11/16/2018,66.76,36537,66.75,68.38,66.1
11/15/2018,66.62,34079,65.92,67.4,65.75
11/14/2018,66.12,46712,65.28,67.62,65.01
11/13/2018,65.47,55899,69.14,69.67,64.64
11/12/2018,70.12,38134,70.54,71.86,68.89
11/09/2018,70.18,31777,70.95,70.98,69.16
11/08/2018,70.65,38650,72.14,73.06,70.51
11/07/2018,72.07,35950,71.75,73.53,71.35
11/06/2018,72.13,30880,72.72,73.27,71.18
11/05/2018,73.17,26770,72.75,74.12,72.23
11/02/2018,72.83,35271,72.66,73.48,72.17
11/01/2018,72.89,32895,74.79,74.98,72.56
10/31/2018,75.47,2351,76.18,76.89,75.48
10/30/2018,75.91,15017,76.84,77.32,75.11
10/29/2018,77.34,13962,77.69,78.01,76.55
10/26/2018,77.62,29228,76.62,77.91,75.77
10/25/2018,76.89,29299,75.7,77.05,75.37
10/24/2018,76.17,54042,76.19,77.56,75.13
10/23/2018,76.44,58252,80.02,80.12,75.88
10/22/2018,79.83,33913,80.08,80.39,78.97
10/19/2018,79.78,33693,79.34,80.89,79.22
10/18/2018,79.29,38791,80.33,80.33,78.69
10/17/2018,80.05,37842,81.6,81.84,79.17
10/16/2018,81.41,31860,80.7,81.74,79.8
10/15/2018,80.78,30049,80.97,81.91,79.85
10/12/2018,80.43,35903,80.28,81.47,79.22
10/11/2018,80.26,46703,82.59,82.61,79.8
10/10/2018,83.09,29435,84.88,85.16,82.28
10/09/2018,85,34643,83.77,85.44,83.72
10/08/2018,83.91,27120,84.11,84.31,82.66
10/05/2018,84.16,26475,84.71,85.11,83.92
10/04/2018,84.58,32799,86.13,86.42,84.15
10/03/2018,86.29,30294,84.71,86.72,84.01
10/02/2018,84.8,24041,85.06,85.37,84.32
10/01/2018,84.98,33133,82.92,85.44,82.56
09/28/2018,82.73,1384,81.54,82.85,81.54
09/27/2018,81.72,11368,81.81,82.42,81.34
09/26/2018,81.34,15919,81.51,82.19,81.12
