State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Number speaking second language (Persons),Number speaking second language (Males),Number speaking second language (Females),Number speaking third language (Persons) ,Number speaking third language (Males) ,Number speaking third language (Females)
10,00,BIHAR,Rural,15-19,1731520,1000204,731316,211907,123240,88667
10,00,BIHAR,Rural,20-24,1394420,795121,599299,161918,100689,61229
10,00,BIHAR,Rural,25-29,1256179,702818,553361,127446,80188,47258
10,00,BIHAR,Rural,30-49,3577548,2077637,1499911,328222,220926,107296
10,00,BIHAR,Rural,50-69,1540918,924949,615969,119665,88939,30726
10,00,BIHAR,Rural,70+,310213,194592,115621,21787,16699,5088
10,00,BIHAR,Rural,Age not stated,40860,23320,17540,3374,2114,1260
10,00,BIHAR,Urban,Total,2831528,1577602,1253926,419896,243401,176495
10,00,BIHAR,Urban,5-9,210246,109578,100668,17908,9182,8726
10,00,BIHAR,Urban,10-14,364991,189910,175081,48652,24641,24011
10,00,BIHAR,Urban,15-19,378829,201977,176852,64547,33276,31271
10,00,BIHAR,Urban,20-24,335396,184284,151112,57512,31706,25806
10,00,BIHAR,Urban,25-29,284992,155010,129982,45939,25783,20156
10,00,BIHAR,Urban,30-49,820368,465542,354826,123500,75321,48179
10,00,BIHAR,Urban,50-69,355834,220375,135459,51412,36000,15412
10,00,BIHAR,Urban,70+,68072,43637,24435,8793,6547,2246
10,00,BIHAR,Urban,Age not stated,12800,7289,5511,1633,945,688
11,00,SIKKIM,Total,Total,388999,213340,175659,181402,99427,81975
11,00,SIKKIM,Total,5-9,21390,10734,10656,5788,2873,2915
11,00,SIKKIM,Total,10-14,46352,23122,23230,21665,10613,11052
11,00,SIKKIM,Total,15-19,53332,26689,26643,30656,14858,15798
11,00,SIKKIM,Total,20-24,53073,27753,25320,28271,14295,13976
11,00,SIKKIM,Total,25-29,50044,27282,22762,25399,13451,11948
11,00,SIKKIM,Total,30-49,117079,68014,49065,53862,32317,21545
11,00,SIKKIM,Total,50-69,38855,24236,14619,13550,9489,4061
11,00,SIKKIM,Total,70+,8159,5119,3040,1933,1373,560
