Table name,State Code,District Code,Sub-District Code,Area name,Mother tongue code,Mother tongue name,Total Persons,Total Males,Total Females,Rural Persons,Rural Males,Rural Females,Urban Persons,Urban Males,Urban Females
C0116,00,000,00000,INDIA,031000,31 BHOTIA ,229954,113626,116328,178560,88393,90167,51394,25233,26161
C0116,00,000,00000,INDIA,031001, Bhotia,120583,59579,61004,94139,46794,47345,26444,12785,13659
C0116,00,000,00000,INDIA,031011, Bauti,100000,49265,50735,76946,37800,39146,23054,11465,11589
C0116,00,000,00000,INDIA,031999,31 Others,9371,4782,4589,7475,3799,3676,1896,983,913
C0116,00,000,00000,INDIA,032000,32 BHUMIJ ,27506,13873,13633,25814,12997,12817,1692,876,816
C0116,00,000,00000,INDIA,032002, Bhumij,10190,5085,5105,9500,4731,4769,690,354,336
C0116,00,000,00000,INDIA,032999,32 Others,17316,8788,8528,16314,8266,8048,1002,522,480
C0116,00,000,00000,INDIA,033000,33 BISHNUPURIYA,79646,39762,39884,68860,34228,34632,10786,5534,5252
C0116,00,000,00000,INDIA,033003, Bishnupriya Manipuri/Manipuri Bishnupriya,74069,36945,37124,64302,31968,32334,9767,4977,4790
C0116,00,000,00000,INDIA,033999,33 Others,5577,2817,2760,4558,2260,2298,1019,557,462
C0116,00,000,00000,INDIA,034000,34 CHAKHESANG ,19846,10171,9675,12177,6333,5844,7669,3838,3831
C0116,00,000,00000,INDIA,034001, Chakhesang,19846,10171,9675,12177,6333,5844,7669,3838,3831
C0116,00,000,00000,INDIA,035000,35 CHAKRU/CHOKRI ,91216,46143,45073,77622,39219,38403,13594,6924,6670
C0116,00,000,00000,INDIA,035001, Chakru/Chokri,91216,46143,45073,77622,39219,38403,13594,6924,6670
C0116,00,000,00000,INDIA,036000,36 CHANG ,66852,34533,32319,49053,25408,23645,17799,9125,8674
C0116,00,000,00000,INDIA,036001, Chang,66852,34533,32319,49053,25408,23645,17799,9125,8674
C0116,00,000,00000,INDIA,037000,37 COORGI/KODAGU ,113857,56116,57741,78458,38887,39571,35399,17229,18170
C0116,00,000,00000,INDIA,037001, Coorgi/Kodagu,16939,8290,8649,2730,1378,1352,14209,6912,7297
C0116,00,000,00000,INDIA,037003, Kodava,96918,47826,49092,75728,37509,38219,21190,10317,10873
C0116,00,000,00000,INDIA,038000,38 DEORI ,32376,16234,16142,30286,15166,15120,2090,1068,1022
C0116,00,000,00000,INDIA,038001, Deori,32376,16234,16142,30286,15166,15120,2090,1068,1022
C0116,00,000,00000,INDIA,039000,39 DIMASA ,137184,68713,68471,122729,61466,61263,14455,7247,7208
C0116,00,000,00000,INDIA,039002, Dimasa,133327,66777,66550,119065,59646,59419,14262,7131,7131
C0116,00,000,00000,INDIA,039999,39 Others,3857,1936,1921,3664,1820,1844,193,116,77
C0116,00,000,00000,INDIA,040000,40 ENGLISH ,259678,129115,130563,36985,20366,16619,222693,108749,113944
C0116,00,000,00000,INDIA,040001, English,259678,129115,130563,36985,20366,16619,222693,108749,113944
C0116,00,000,00000,INDIA,041000,41 GADABA ,40976,19704,21272,39698,19115,20583,1278,589,689
C0116,00,000,00000,INDIA,041001, Gadaba,40965,19698,21267,39697,19114,20583,1268,584,684
C0116,00,000,00000,INDIA,041999,41 Others,11,6,5,1,1,0,10,5,5
C0116,00,000,00000,INDIA,042000,42 GANGTE ,16542,8389,8153,14526,7378,7148,2016,1011,1005
C0116,00,000,00000,INDIA,042001, Gangte,16542,8389,8153,14526,7378,7148,2016,1011,1005
C0116,00,000,00000,INDIA,043000,43 GARO ,1145323,576528,568795,1022642,516359,506283,122681,60169,62512
